"Model"
"out  ~  1+ in1"
"out  ~  1+ in2"
"out  ~  1+ in3"
"out  ~  1+ in1 + in2"
"out  ~  1+ in1 + in3"
"out  ~  1+ in2 + in1"
"out  ~  1+ in2 + in3"
"out  ~  1+ in3 + in1"
"out  ~  1+ in3 + in2"
"out  ~  1+ in1 * in2"
"out  ~  1+ in1 * in3"
"out  ~  1+ in2 * in1"
"out  ~  1+ in2 * in3"
"out  ~  1+ in3 * in1"
"out  ~  1+ in3 * in2"
"out  ~  1+ in1 + in2 + in3"
"out  ~  1+ in1 + in3 + in2"
"out  ~  1+ in2 + in1 + in3"
"out  ~  1+ in2 + in3 + in1"
"out  ~  1+ in3 + in1 + in2"
"out  ~  1+ in3 + in2 + in1"
"out  ~  1+ in1 + in2 * in3"
"out  ~  1+ in1 + in3 * in2"
"out  ~  1+ in2 + in1 * in3"
"out  ~  1+ in2 + in3 * in1"
"out  ~  1+ in3 + in1 * in2"
"out  ~  1+ in3 + in2 * in1"
"out  ~  1+ in1 * in2 + in3"
"out  ~  1+ in1 * in3 + in2"
"out  ~  1+ in2 * in1 + in3"
"out  ~  1+ in2 * in3 + in1"
"out  ~  1+ in3 * in1 + in2"
"out  ~  1+ in3 * in2 + in1"
"out  ~  1+ in1 * in2 * in3"
"out  ~  1+ in1 * in3 * in2"
"out  ~  1+ in2 * in1 * in3"
"out  ~  1+ in2 * in3 * in1"
"out  ~  1+ in3 * in1 * in2"
"out  ~  1+ in3 * in2 * in1"
